ward,pre,post,p23,p45,ev_pre,ev_post,ev_all,spend,area,growth,delta,d23,d45,log_spend,log_area,log_growth
Chokkasandra,1.4084531518225072,0.6932169399357095,0.7572800880066343,0.6419664214789697,5,5,21,5606549.0,3.8,1.3031,-0.7152362118867976,-0.6511730638158729,-0.7664867303435375,15.539446115063228,1.33500106673234,0.2647460411687232
Chowdeshwari Ward,0.668655544672053,1.7695226814408311,1.7824030030845737,1.7592184241258368,1,14,16,183880877.0,6.5,1.088,1.1008671367687781,1.1137474584125207,1.0905628794537838,19.029798703744067,1.8718021769015913,0.08434114843375096
Cottonpet,1.0219337550084533,2.105638778439202,1.4683687651053825,2.6154547891062583,1,14,20,4181796.0,0.8,1.2444,1.0837050234307486,0.4464350100969292,1.593521034097805,15.246251616424779,-0.2231435513142097,0.21865348604134485
Dattathreya Temple,1.3184731550053506,1.351145268796352,1.4279218624683128,1.2897239938587837,3,11,26,3760842.0,0.7,1.6477,0.032672113791001545,0.1094487074629622,-0.028749161146566893,15.140153692364196,-0.35667494393873245,0.4993803760812487
Deepanjali Nagar,0.7117422626564137,1.1261609562775787,1.3405035895347466,0.9546868496718446,1,7,17,2483804.0,2.1,1.6475,0.414418693621165,0.6287613268783329,0.24294458701543087,14.725302216538571,0.7419373447293773,0.49925898739452523
Dharmarayaswamy Temple Ward,1.0563614214022732,2.549181039920794,2.3313886175383365,2.7234149778267605,3,34,53,0.0,1.1,2.6835,1.492819618518521,1.2750271961360633,1.6670535564244873,0.0,0.09531017980432493,0.9871219126347465
Dodda Bidarkallu,1.6880444419804934,1.6415710171740043,1.636228462196836,1.6458450611557391,12,48,110,153366370.0,12.9,2.1087,-0.04647342480648908,-0.051815979783657484,-0.04219938082475427,18.848340198613954,2.5572273113676265,0.7460716438678322
Doddabommasandra,1.7251185211741016,0.9388555957201024,0.8436697501551997,1.0150042721720243,4,6,17,45225207.0,4.2,2.6164,-0.7862629254539992,-0.8814487710189018,-0.7101142490020773,17.62716518846115,1.4350845252893227,0.9617993271049207
Doddanekkundi,1.1260546088474925,1.7180445717474022,1.383655837536996,1.9855555591157272,8,54,98,5065522.0,12.0,4.3235,0.5919899628999097,0.2576012286895035,0.8595009502682347,15.43796794798476,2.4849066497880004,1.4640652594183479
Domlur,1.1069392489945191,1.0487098372251953,1.3636556161136206,0.7967532141144551,2,10,18,0.0,1.7,2.8235,-0.058229411769323836,0.2567163671191015,-0.310186034880064,0.0,0.5306282510621704,1.0379772501307545
Dr.Rajkumar Ward,2.5787606199825923,0.8144370021871263,0.8784156827407892,0.763254057744196,6,3,14,10244026.0,1.0,2.0103,-1.764323617795466,-1.7003449372418031,-1.8155065622383963,16.142205361987262,0.0,0.6982839646650977
Ejipura,1.1843511935037434,0.8216904749839365,0.8593335064863631,0.7915760497819953,4,7,33,30688955.0,1.9,1.8949,-0.36266071851980686,-0.3250176870173803,-0.39277514372174815,17.239413408422,0.6418538861723947,0.6391660666934318
Gandhi Nagar,0.7772384146929299,1.685615989584151,1.0957103928400473,2.157540466979434,2,22,43,0.0,1.9,2.1357,0.9083775748912211,0.3184719781471175,1.380302052286504,0.0,0.6418538861723947,0.7587944617958002
Garudacharpalya,0.7556041335455523,1.2281112575114708,1.3605047602749463,1.1221964553006902,1,13,20,79075954.0,6.8,3.139,0.47250712396591843,0.6049006267293939,0.3665923217551379,18.18591940422501,1.916922612182061,1.1439042778598165
Gottigere,1.0255549907575443,0.5512544940251191,0.6924265574975531,0.4383168432471717,8,11,26,31677656.0,7.4,2.3738,-0.47430049673242525,-0.3331284332599912,-0.5872381475103726,17.271122163842115,2.0014800002101243,0.8644920466402678
Gurappanapalya,0.5738722729309327,1.2282353531966361,1.1481871665071213,1.292273902548248,0,8,12,4968146.0,0.7,2.3093,0.6543630802657034,0.5743148935761886,0.7184016296173152,15.418557491529675,-0.35667494393873245,0.836944448307712
H.M.T,1.4547387443457478,1.8150864830999371,0.7943721135690751,2.6316579787246264,4,16,32,2847600.0,5.2,1.9438,0.36034773875418935,-0.6603666307766727,1.1769192343788786,14.861987443384711,1.6486586255873816,0.6646448200872331
HBR Layout,1.1663037901959943,1.005462852640126,1.0370350818025968,0.9802050693101492,10,28,80,12419502.0,4.6,1.603,-0.16084093755586837,-0.12926870839339744,-0.18609872088584511,16.33477861756588,1.5260563034950492,0.47187687362741587
HSR Layout,1.0359587065231042,1.0695096743824868,1.0327630922555038,1.0989069400840736,13,32,79,41566988.0,7.1,1.7957,0.03355096785938261,-0.0031956142676003996,0.06294823356096946,17.542816876563155,1.9600947840472698,0.5853949180657151
Hagadooru,1.6784453338661314,1.3810199376674803,1.1675102398466572,1.5518276959241386,9,22,64,58794706.0,12.6,3.3046,-0.29742539619865105,-0.5109350940194741,-0.12661763794199277,17.88956239181028,2.533696813957432,1.1953154372347534
Hebbal,0.6488377414086591,1.20847839518459,1.2182909456319444,1.2006283548267067,2,17,25,848732.0,1.2,3.2857,0.559640653775931,0.5694532042232853,0.5517906134180476,13.65149992819937,0.1823215567939546,1.1895797190382975
Hegganahalli,1.2821135433144146,1.0548763225149338,1.316410288354473,0.8456491498433026,2,8,14,64454456.0,1.8,2.3494,-0.22723722079948083,0.03429674504005842,-0.436464393471112,17.98146943934166,0.5877866649021191,0.8541599764076486
Hemmigepura,0.8537928214631139,0.7605973996939814,0.6762992563622285,0.8280359143593838,8,35,58,19447700.0,30.5,2.2329,-0.09319542176913242,-0.17749356510088532,-0.02575690710373002,16.78323942052836,3.417726683613366,0.8033011890518376
Herohalli,1.1177396720990256,0.781921146893868,0.9649308228389794,0.6355134061377791,7,20,55,154499857.0,7.8,1.8185,-0.33581852520515754,-0.15280884926004623,-0.4822262659612465,18.8557037352078,2.0541237336955462,0.5980119854449066
Hombegowda Nagar,1.2613406700267302,0.9832498979645278,1.391983485957277,0.6562630275703284,4,9,26,20341390.0,1.4,2.2742,-0.27809077206220245,0.13064281593054683,-0.6050776424564018,16.828168333660336,0.3364722366212129,0.8216283422084855
Hongasandra,2.5664358776992615,1.263111170556438,1.2927169583588445,1.239426540314513,9,12,41,55745481.0,2.1,2.0126,-1.3033247071428236,-1.273718919340417,-1.3270093373847485,17.83630692466181,0.7419373447293773,0.6994274185170958
Hoodi,2.149383475194553,1.30069661663355,1.0956903849923743,1.4647016019464907,21,44,121,0.0,15.0,2.8217,-0.8486868585610028,-1.0536930902021786,-0.6846818732480622,0.0,2.70805020110221,1.0373395401962964
Horamavu,1.7672370555679864,1.268124019680654,0.9219031217992038,1.5451007379858144,40,67,173,72362891.0,17.5,2.0337,-0.49911303588733236,-0.8453339337687826,-0.222136317582172,18.09720418452522,2.8622008809294686,0.7098567941228926
Hosakerehalli,1.272717886206225,0.7021082980861196,0.4458669403600983,0.9071013842669367,5,3,19,42674535.0,1.3,1.3761,-0.5706095881201053,-0.8268509458461266,-0.3656165019392883,17.569112953709276,0.26236426446749106,0.319253411289099
Hoysala Nagar,0.719893167093795,1.2320771964039121,1.131277600111872,1.312716873437544,3,21,46,2819541.0,2.1,2.2593,0.5121840293101171,0.41138443301807703,0.592823706343749,14.852085018376627,0.7419373447293773,0.8150550307932787
