ward,raw_slope,raw_p,share_slope,share_p,rel_slope,rel_p,events,ev_first4,ev_last4,co_first4,co_last4,rel_first4,rel_last4
Chikpete,0.14285714285714285,0.19957110953302404,-0.00026824199888566766,0.3614464888476012,0.012498647451958375,0.5424221448910934,63,10,23,493,1627,1.7683229778467346,1.938162452904303
Chokkasandra,-0.0,0.13594692522666904,-0.0005515580123020269,0.03141770165308583,-0.03139045980057756,0.18588304288709082,21,5,3,477,761,1.165503497152244,0.6525259962624759
Chowdeshwari Ward,-0.0,0.05245229006343921,-0.0,0.09185915354333572,0.03681738781855538,0.02373449564495179,16,1,9,345,440,0.6073677812646763,2.0041491399678004
Cottonpet,-0.0,0.09062155597775234,-0.0,0.17452534056858338,0.06243642974602227,0.06380788453418215,20,1,11,169,308,0.9134276806822443,3.062320410091357
Dattathreya Temple,-0.0,0.6782419809008946,-0.00012583346356201486,0.4512964787400878,0.012631712543388934,0.5424221448910934,26,3,5,267,470,1.1403563113067632,1.4256353119446692
Dayananda Nagar,-0.0,0.5637028616507731,-0.0,0.7779728326668359,0.0020103276090948337,0.8728414598639421,6,1,2,93,205,1.0666479908280362,1.2307813903649945
Deepanjali Nagar,-0.0,0.9150882314978102,-0.0,0.7620728877080543,-0.001887534945554977,0.8728414598639421,17,2,4,257,544,0.9669776744864319,1.003073895279368
Devarajeevanahalli,-0.0,0.3476116417041175,-0.0,0.7169617905927377,3.495836874904771e-05,1.0,8,1,4,90,220,1.061792644912858,1.5869624684515622
Devasandra,-0.0,0.9381652397905107,-0.0,0.7016403679534656,-0.008793352367636925,0.3513948581732795,10,1,3,192,460,0.8167237975682758,0.8687677663666291
Dharmarayaswamy Temple Ward,0.17424242424242425,0.016755026316127467,0.0005216183478234948,0.2979792725863437,0.07351162603194138,0.02832862734229191,53,3,21,367,1093,0.9194932992357384,2.568171614297247
Dodda Bidarkallu,-0.0,0.7434206976952524,-0.0007003683304094623,0.07402572925713644,-0.04621048317935608,0.20862839781386747,110,17,23,909,3038,2.0385133184156103,1.1317937871102604
Doddabommasandra,-0.0,0.9721592887300684,-0.0,0.4942366736874473,-0.00802586400212607,0.8728414598639421,17,4,5,258,669,1.4521630161107788,1.1030060070820704
Doddanekkundi,0.2899159663865546,0.04256245867571476,8.942957735819993e-05,0.8202452000178146,0.06000455151153764,0.054753545747263134,98,8,40,878,2586,0.9338882856732416,2.292428146647999
